off_team,lane,off_rush_share
LV,right_end,0
MIA,right_end,2
MIN,right_end,1
NE,right_end,1
NO,right_end,1
NYG,right_end,0
NYJ,right_end,1
PHI,right_end,0
PIT,right_end,0
SEA,right_end,0
SF,right_end,0
TB,right_end,0
TEN,right_end,0
WAS,right_end,1
